orth,phon,type,freq,log_freq
yit,/yit/,ANC_REG,10,2.48490665
brax,/br@ks/,ANC_REG,10,2.48490665
smeef,/smEf/,ANC_REG,10,2.48490665
drim,/drim/,ANC_REG,10,2.48490665
chisp,/Cisp/,ANC_REG,10,2.48490665
slig,/slig/,ANC_REG,10,2.48490665
freld,/freld/,ANC_REG,10,2.48490665
flark,/flark/,ANC_REG,10,2.48490665
fing,/fiN/,ANC_REG,10,2.48490665
flape,/flAp/,ANC_REG,10,2.48490665
shrot,/SrOt/,ANC_EXC,10,2.48490665
prell,/prEl/,ANC_EXC,10,2.48490665
brill,/brIl/,ANC_EXC,10,2.48490665
glest,/glEst/,ANC_EXC,10,2.48490665
prace,/pro/,ANC_EXC,10,2.48490665
vank,/vank/,ANC_EXC,10,2.48490665
tream,/trem/,ANC_EXC,10,2.48490665
smipe,/smip/,ANC_EXC,10,2.48490665
vust,/vUst/,ANC_EXC,10,2.48490665
vuff,/vUf/,ANC_EXC,10,2.48490665
bive,/bIv/,ANC_AMB,10,2.48490665
flome,/flOm/,ANC_AMB,10,2.48490665
pread,/pred/,ANC_AMB,10,2.48490665
trow,/trW/,ANC_AMB,10,2.48490665
frour,/grWr/,ANC_AMB,10,2.48490665
chone,/Can/,ANC_AMB,10,2.48490665
frood,/fr^d/,ANC_AMB,10,2.48490665
