orth,phon,type,freq,log_freq
slit,/slit/,ANC_REG,5,1.242453325
thax,/T@ks/,ANC_REG,5,1.242453325
kleef,/klEf/,ANC_REG,5,1.242453325
krim,/krim/,ANC_REG,5,1.242453325
nisp,/nisp/,ANC_REG,5,1.242453325
plig,/plig/,ANC_REG,5,1.242453325
preld,/preld/,ANC_REG,5,1.242453325
scark,/skark/,ANC_REG,5,1.242453325
shing,/SiN/,ANC_REG,5,1.242453325
slape,/slAp/,ANC_REG,5,1.242453325
dit,/dit/,ANC_REG,5,1.242453325
chax,/C@ks/,ANC_REG,5,1.242453325
pleef,/plEf/,ANC_REG,5,1.242453325
plim,/plim/,ANC_REG,5,1.242453325
fisp,/fisp/,ANC_REG,5,1.242453325
drig,/drig/,ANC_REG,5,1.242453325
steld,/steld/,ANC_REG,5,1.242453325
plark,/plark/,ANC_REG,5,1.242453325
hing,/hiN/,ANC_REG,5,1.242453325
glape,/glAp/,ANC_REG,5,1.242453325
strot,/strOt/,ANC_EXC,5,1.242453325
grell,/grEl/,ANC_EXC,5,1.242453325
wrill,/rIl/,ANC_EXC,5,1.242453325
dest,/dEst/,ANC_EXC,5,1.242453325
drace,/dro/,ANC_EXC,5,1.242453325
fank,/fank/,ANC_EXC,5,1.242453325
geam,/jem/,ANC_EXC,5,1.242453325
kipe,/kip/,ANC_EXC,5,1.242453325
nust,/nUst/,ANC_EXC,5,1.242453325
suff,/sUf/,ANC_EXC,5,1.242453325
frot,/frOt/,ANC_EXC,5,1.242453325
drell,/drEl/,ANC_EXC,5,1.242453325
prill,/prIl/,ANC_EXC,5,1.242453325
clest,/klEst/,ANC_EXC,5,1.242453325
frace,/fro/,ANC_EXC,5,1.242453325
splank,/splank/,ANC_EXC,5,1.242453325
cheam,/Cem/,ANC_EXC,5,1.242453325
fipe,/fip/,ANC_EXC,5,1.242453325
blust,/blUst/,ANC_EXC,5,1.242453325
chuff,/CUf/,ANC_EXC,5,1.242453325
tive,/tIv/,ANC_AMB,5,1.242453325
blome,/blOm/,ANC_AMB,5,1.242453325
clead,/kled/,ANC_AMB,5,1.242453325
frow,/frW/,ANC_AMB,5,1.242453325
grour,/grWr/,ANC_AMB,5,1.242453325
plone,/plan/,ANC_AMB,5,1.242453325
slood,/sl^d/,ANC_AMB,5,1.242453325
kive,/kIv/,ANC_AMB,5,1.242453325
clome,/klOm/,ANC_AMB,5,1.242453325
smead,/smed/,ANC_AMB,5,1.242453325
clow,/klW/,ANC_AMB,5,1.242453325
grour,/grWr/,ANC_AMB,5,1.242453325
glone,/glan/,ANC_AMB,5,1.242453325
lood,/l^d/,ANC_AMB,5,1.242453325
