orth,phon,type,freq,log_freq
slit,/slit/,ANC_REG,3.333333333,1.673976434
thax,/T@ks/,ANC_REG,3.333333333,1.673976434
kleef,/klEf/,ANC_REG,3.333333333,1.673976434
krim,/krim/,ANC_REG,3.333333333,1.673976434
nisp,/nisp/,ANC_REG,3.333333333,1.673976434
plig,/plig/,ANC_REG,3.333333333,1.673976434
preld,/preld/,ANC_REG,3.333333333,1.673976434
scark,/skark/,ANC_REG,3.333333333,1.673976434
shing,/SiN/,ANC_REG,3.333333333,1.673976434
slape,/slAp/,ANC_REG,3.333333333,1.673976434
strot,/strOt/,ANC_EXC,3.333333333,1.673976434
grell,/grEl/,ANC_EXC,3.333333333,1.673976434
wrill,/rIl/,ANC_EXC,3.333333333,1.673976434
dest,/dEst/,ANC_EXC,3.333333333,1.673976434
drace,/dro/,ANC_EXC,3.333333333,1.673976434
fank,/fank/,ANC_EXC,3.333333333,1.673976434
geam,/jem/,ANC_EXC,3.333333333,1.673976434
kipe,/kip/,ANC_EXC,3.333333333,1.673976434
nust,/nUst/,ANC_EXC,3.333333333,1.673976434
suff,/sUf/,ANC_EXC,3.333333333,1.673976434
tive,/tIv/,ANC_AMB,3.333333333,1.673976434
blome,/blOm/,ANC_AMB,3.333333333,1.673976434
clead,/kled/,ANC_AMB,3.333333333,1.673976434
frow,/frW/,ANC_AMB,3.333333333,1.673976434
grour,/grWr/,ANC_AMB,3.333333333,1.673976434
plone,/plan/,ANC_AMB,3.333333333,1.673976434
slood,/sl^d/,ANC_AMB,3.333333333,1.673976434
