orth,phon,type,freq,log_freq
flit,/flit/,PRO_REG,-1,-1
glit,/glit/,PRO_REG,-1,-1
plit,/plit/,PRO_REG,-1,-1
trit,/trit/,PRO_REG,-1,-1
brax,/br@ks/,PRO_REG,-1,-1
drax,/dr@ks/,PRO_REG,-1,-1
prax,/pr@ks/,PRO_REG,-1,-1
shrax,/Sr@ks/,PRO_REG,-1,-1
bleef,/blEf/,PRO_REG,-1,-1
gleef,/glEf/,PRO_REG,-1,-1
pleef,/plEf/,PRO_REG,-1,-1
preef,/prEf/,PRO_REG,-1,-1
blim,/blim/,PRO_REG,-1,-1
clim,/klim/,PRO_REG,-1,-1
drim,/drim/,PRO_REG,-1,-1
frim,/frim/,PRO_REG,-1,-1
bisp,/bisp/,PRO_REG,-1,-1
kisp,/kisp/,PRO_REG,-1,-1
risp,/risp/,PRO_REG,-1,-1
tisp,/tisp/,PRO_REG,-1,-1
blig,/blig/,PRO_REG,-1,-1
clig,/klig/,PRO_REG,-1,-1
flig,/flig/,PRO_REG,-1,-1
slig,/slig/,PRO_REG,-1,-1
breld,/breld/,PRO_REG,-1,-1
creld,/kreld/,PRO_REG,-1,-1
dreld,/dreld/,PRO_REG,-1,-1
steld,/steld/,PRO_REG,-1,-1
blark,/blark/,PRO_REG,-1,-1
crark,/krark/,PRO_REG,-1,-1
plark,/plark/,PRO_REG,-1,-1
slark,/slark/,PRO_REG,-1,-1
ging,/giN/,PRO_REG,-1,-1
jing,/jiN/,PRO_REG,-1,-1
ning,/niN/,PRO_REG,-1,-1
ting,/tiN/,PRO_REG,-1,-1
blape,/blAp/,PRO_REG,-1,-1
clape,/klAp/,PRO_REG,-1,-1
glape,/glAp/,PRO_REG,-1,-1
plape,/plAp/,PRO_REG,-1,-1
crot,/krOt/,PRO_EXC,-1,-1
drot,/drOt/,PRO_EXC,-1,-1
grot,/grOt/,PRO_EXC,-1,-1
prot,/prOt/,PRO_EXC,-1,-1
brell,/brEl/,PRO_EXC,-1,-1
crell,/krEl/,PRO_EXC,-1,-1
drell,/drEl/,PRO_EXC,-1,-1
prell,/prIl/,PRO_EXC,-1,-1
blill,/blIl/,PRO_EXC,-1,-1
brill,/brIl/,PRO_EXC,-1,-1
clill,/klIl/,PRO_EXC,-1,-1
prill,/prIl/,PRO_EXC,-1,-1
clest,/klEst/,PRO_EXC,-1,-1
glest,/glEst/,PRO_EXC,-1,-1
plest,/plEst/,PRO_EXC,-1,-1
trest,/trEst/,PRO_EXC,-1,-1
frace,/fro/,PRO_EXC,-1,-1
krace,/kro/,PRO_EXC,-1,-1
prace,/pro/,PRO_EXC,-1,-1
vrace,/vro/,PRO_EXC,-1,-1
lank,/lank/,PRO_EXC,-1,-1
vank,/vank/,PRO_EXC,-1,-1
cheam,/Cem/,PRO_EXC,-1,-1
fleam,/flem/,PRO_EXC,-1,-1
keam,/kem/,PRO_EXC,-1,-1
peam,/pem/,PRO_EXC,-1,-1
bipe,/bip/,PRO_EXC,-1,-1
fipe,/fip/,PRO_EXC,-1,-1
gipe,/gip/,PRO_EXC,-1,-1
nipe,/nip/,PRO_EXC,-1,-1
chust,/CUst/,PRO_EXC,-1,-1
pust,/pUst/,PRO_EXC,-1,-1
tust,/tUst/,PRO_EXC,-1,-1
vust,/vUst/,PRO_EXC,-1,-1
chuff,/CUf/,PRO_EXC,-1,-1
druff,/drUf/,PRO_EXC,-1,-1
vuff,/vUf/,PRO_EXC,-1,-1
kive,/kIv/,PRO_AMB,-1,-1
mive,/mIv/,PRO_AMB,-1,-1
pive,/pIv/,PRO_AMB,-1,-1
tive,/tIv/,PRO_AMB,-1,-1
clome,/klOm/,PRO_AMB,-1,-1
flome,/flOm/,PRO_AMB,-1,-1
grome,/grOm/,PRO_AMB,-1,-1
prome,/prOm/,PRO_AMB,-1,-1
glead,/gled/,PRO_AMB,-1,-1
pread,/pred/,PRO_AMB,-1,-1
smead,/smed/,PRO_AMB,-1,-1
kread,/kred/,PRO_AMB,-1,-1
clow,/klW/,PRO_AMB,-1,-1
trow,/trW/,PRO_AMB,-1,-1
brour,/brWr/,PRO_AMB,-1,-1
drour,/drWr/,PRO_AMB,-1,-1
prour,/prWr/,PRO_AMB,-1,-1
trour,/trWr/,PRO_AMB,-1,-1
blone,/blan/,PRO_AMB,-1,-1
frone,/flan/,PRO_AMB,-1,-1
slone,/slan/,PRO_AMB,-1,-1
glone,/glan/,PRO_AMB,-1,-1
glood,/gl^d/,PRO_AMB,-1,-1
klood,/kl^d/,PRO_AMB,-1,-1
plood,/pl^d/,PRO_AMB,-1,-1
