word_id,orth,most_active_onset,most_active_onset_value,entropy_sum_onset,most_active_vowel,most_active_vowel_value,entropy_sum_vowel,most_active_coda,most_active_coda_value,entropy_sum_coda
0,YEH,y,0.9998758,22.806526,e,0.6001894,12.816931,T,0.009593799,23.788177
1,YER,y,0.9997609,22.775072,u,0.72379476,12.9658985,r,0.9994306,23.858349
2,YEL,y,0.99971277,22.609545,e,0.94082075,13.431693,l,0.9951805,23.755398
3,YEM,y,0.9994293,22.728125,e,0.8707015,12.682483,m,0.9995926,23.876036
4,YEN,y,0.9964849,22.655819,e,0.94906586,13.585348,n,0.9873547,23.774849
5,YEB,y,0.99634296,22.568274,e,0.8532251,13.21341,b,0.6849676,22.941402
6,YED,y,0.99326164,22.813896,e,0.9971222,13.83784,d,0.9953524,23.858812
7,YEG,y,0.9990695,22.79137,e,0.35564002,12.793698,g,0.85082555,22.733818
8,YEC,y,0.99895704,22.738924,e,0.99713457,13.617011,s,0.71714884,21.29444
9,YEX,y,0.9944488,22.58889,e,0.9811001,13.556018,s,0.9951238,23.252113
10,YEF,y,0.9980976,22.846977,e,0.95381105,13.301757,f,0.993536,23.804022
11,YEV,y,0.998569,22.785015,e,0.53273445,12.32517,v,0.7516302,23.001488
12,YEJ,y,0.9999597,22.795904,e,0.55476964,12.351662,t,0.029237809,23.720772
13,YES,y,0.9992144,22.796774,e,0.9055753,13.166654,s,0.97275746,23.385765
14,YEZ,y,0.9926662,22.776045,e,0.86900806,12.970606,z,0.96499723,23.06418
15,YEP,y,0.99681807,22.806736,e,0.96550083,13.51071,p,0.99834013,23.722637
16,YET,y,0.9978638,22.81521,e,0.98130625,13.771204,t,0.9998541,23.898226
17,YEK,y,0.9997272,22.81464,e,0.09205444,13.402337,k,0.998409,23.651663
18,YEQ,y,0.9928242,22.545513,E,0.057880346,13.3135395,k,0.99989736,23.412136
19,YEBB,y,0.9415949,22.46832,e,0.99469465,13.8501,b,0.98297644,23.792906
20,YECH,y,0.98881394,22.685268,e,0.9812385,13.431873,C,0.24352437,23.028084
21,YECK,y,0.9477462,22.598421,e,0.97945946,13.661963,k,0.99925953,23.541113
22,YEDD,y,0.86418784,22.347235,e,0.99153686,13.778346,d,0.99705243,23.918964
23,YEDG,y,0.9026401,22.434898,e,0.9926817,12.07778,g,0.36505565,22.184841
24,YEFF,y,0.9847025,22.784788,e,0.98427594,13.031253,f,0.9958274,23.905293
25,YEGG,y,0.99171996,22.840176,e,0.9541214,13.647399,g,0.9589937,23.570318
26,YEGH,y,0.99099743,22.816511,e,0.3445171,12.6873665,f,0.0314371,23.569988
27,YEGN,y,0.95253986,22.52439,e,0.78051436,13.170118,n,0.9837698,23.726803
28,YEKS,y,0.93855256,22.213594,e,0.80986315,12.976993,k,0.9999391,23.432755
29,YELL,y,0.9786185,22.685917,e,0.9973947,13.904963,l,0.99989736,23.850277
30,YENG,y,0.9871831,22.785477,e,0.7038425,12.209278,N,0.91682786,23.17973
31,YENN,y,0.97527605,22.65393,e,0.8856002,13.462641,n,0.9973449,23.913479
32,YEPH,y,0.98998076,22.805471,e,0.9947219,12.9683695,f,0.9589224,23.50575
33,YEPP,y,0.72236526,22.059391,e,0.9474764,12.694125,p,0.9999443,23.85881
34,YEPS,y,0.8323503,22.102,e,0.81339484,12.14788,p,0.9974281,22.215641
35,YERR,y,0.9943962,22.798899,u,0.9937669,13.826426,r,0.99988973,23.957056
36,YESH,y,0.77963316,21.983656,e,0.9527395,13.440205,S,0.89326835,23.327843
37,YESL,y,0.49926272,21.838898,e,0.9654656,13.461079,l,0.99711895,23.600773
38,YESS,y,0.99014914,22.82692,e,0.9947924,13.91002,s,0.99962044,23.860764
39,YETCH,y,0.81820863,22.233963,e,0.99822694,13.746459,C,0.6353221,22.721807
40,YETH,y,0.99876165,22.784857,e,0.98508275,13.701781,T,0.97943866,23.55238
41,YETS,y,0.34560716,21.793636,e,0.9868996,13.784326,t,0.99999726,22.93665
42,YETT,y,0.9995561,22.850819,e,0.59650475,12.890015,t,0.999047,23.960278
43,YEZZ,y,0.68520975,21.812508,e,0.8468476,13.005141,z,0.99733233,23.787292
44,YEU,y,1.0,,U,0.99982184,13.854814,m,0.0018914497,23.911766
45,YEE,y,0.9997408,22.851967,E,0.9988355,13.928358,t,0.0046853833,23.90467
46,YEES,y,0.99640346,22.813118,E,0.9985896,13.979317,s,0.16483642,22.717535
47,YEED,y,0.9716619,22.693895,E,0.9863391,13.837181,d,0.98822683,23.845728
48,YIH,y,0.9944166,22.727785,i,0.01431611,13.820263,m,0.006345918,23.744818
49,YIR,y,0.9839168,22.639671,u,0.631457,13.033553,r,0.9997031,23.902203
50,YIL,y,0.9833988,22.517155,i,0.0992718,13.499463,l,0.9914306,23.764603
51,YIM,y,0.987159,22.593254,i,0.14435087,13.352903,m,0.9996903,23.940943
52,YIN,y,0.93281734,22.353453,i,0.20137838,13.232494,n,0.9736974,23.595997
53,YIB,y,0.881577,22.093876,i,0.20734903,13.242076,b,0.92344505,23.439217
54,YID,y,0.7380712,22.034678,i,0.022443073,13.790796,d,0.99888664,23.85414
55,YIG,y,0.97121024,22.594995,i,0.3767794,12.970058,g,0.95165783,22.640959
56,YIC,y,0.9431207,22.449547,i,0.73282284,13.11875,s,0.70170325,21.400139
57,YIX,y,0.66650075,21.813343,i,0.81994396,13.154419,s,0.9957475,23.369247
58,YIF,y,0.9411776,22.524647,i,0.07252212,13.53467,f,0.9945592,23.801535
59,YIV,y,0.91243875,22.41778,i,0.29113886,12.91965,v,0.92622155,23.477036
60,YIJ,y,0.9973254,22.744186,i,0.042697653,13.68708,t,0.014740569,23.773314
61,YIS,y,0.97265416,22.594967,i,0.15316384,13.329485,s,0.8510546,22.785477
62,YIZ,y,0.7908017,22.071825,i,0.24687093,13.136301,z,0.9715623,22.95392
63,YIP,y,0.79936045,22.158484,i,0.4957697,12.971448,p,0.9965335,23.73087
64,YIT,y,0.89112246,22.3338,i,0.12585421,13.430715,t,0.99994504,23.916302
65,YIK,y,0.9547812,22.505253,i,0.16252764,13.304306,k,0.99954444,22.849949
66,YIQ,y,0.527794,21.674942,i,0.15511303,13.355792,k,0.9999635,22.803986
67,YIBB,y,0.8222422,22.094929,i,0.065386415,13.600366,b,0.996874,23.902988
68,YICH,y,0.9286649,22.376554,i,0.4844699,12.950235,C,0.31231445,22.878813
69,YICK,y,0.09912661,22.430769,i,0.7208878,13.0907545,k,0.9999387,23.512276
70,YIDD,y,0.12740317,22.349005,i,0.08679824,13.522625,d,0.9978241,23.927948
71,YIDG,y,0.38680527,21.95271,i,0.98144835,12.6795435,g,0.61083585,21.288715
72,YIFF,y,0.5587552,21.92041,i,0.6980099,13.012834,f,0.9962447,23.899487
73,YIGG,y,0.6535286,21.948221,i,0.3355484,13.046762,g,0.9971029,23.63824
74,YIGH,y,0.84664774,22.244518,I,0.040592283,13.686991,j,0.025338965,23.529997
75,YIGN,y,0.72171783,21.995314,u,0.0076676453,13.904335,n,0.9939633,23.626863
76,YIKS,y,0.117930725,22.088442,i,0.90708137,13.492364,k,0.99997663,22.91055
77,YILL,y,0.50110155,21.781998,i,0.7514919,13.149863,l,0.9997254,23.890404
78,YING,y,0.7309599,22.01633,i,0.8803573,13.386121,N,0.99481106,23.454975
79,YINN,y,0.6321011,21.923357,i,0.7189475,13.138185,n,0.9945813,23.893213
80,YIPH,y,0.34764555,21.92745,i,0.8829628,13.360745,f,0.9853876,23.643116
81,YIPP,y,0.029099418,22.683092,i,0.99495935,13.284963,p,0.99992144,23.720493
82,YIPS,y,0.1194937,22.15819,i,0.995619,12.98579,p,0.99543375,22.507881
83,YIRR,y,0.5084546,21.830423,u,0.9969062,13.954211,r,0.99995565,23.954594
84,YISH,y,0.18015018,21.93943,i,0.908349,12.993367,S,0.979649,23.587055
85,YISL,y,0.019755118,22.693996,i,0.08179173,13.236766,l,0.9890652,23.824596
86,YISS,y,0.89801294,22.416428,i,0.3590685,13.016932,s,0.99958163,23.907269
87,YITCH,y,0.18622626,22.187597,i,0.7988443,13.254009,C,0.893015,23.276537
88,YITH,y,0.956831,22.41146,i,0.116793625,13.302389,T,0.9721039,23.359634
89,YITS,y,0.0216408,22.684544,i,0.97966367,13.699121,t,0.99999726,23.485634
90,YITT,y,0.95759887,22.4401,i,0.1215289,13.455448,t,0.9997346,23.966045
91,YIZZ,y,0.06255923,22.408882,i,0.48834684,12.946934,z,0.9972796,23.60969
92,YIU,y,0.9999919,22.858631,U,0.8838585,13.305791,m,0.004930713,23.867601
93,YIE,y,0.9999591,22.829155,E,0.6114346,12.83253,t,0.0019346183,23.922153
94,YIES,y,0.99927205,22.854902,E,0.5490548,12.96217,s,0.9022499,23.316492
95,YIED,y,0.9976574,22.838924,E,0.49580935,12.90251,d,0.9801165,23.819614
96,YOH,y,0.99915755,22.786125,O,0.9528922,12.150452,T,0.0068422058,23.785027
97,YOR,y,0.99776983,22.78761,O,0.9897922,13.54472,r,0.998836,23.878246
98,YOL,y,0.99917716,22.698587,O,0.9360867,12.757151,l,0.9265189,23.511303
99,YOM,y,0.9972383,22.73466,^,0.3920588,11.72029,m,0.9986424,23.866905
100,YON,y,0.99588037,22.66507,a,0.79067725,11.53073,n,0.96029127,23.447065
101,YOB,y,0.99240255,22.784054,a,0.8554218,12.45013,b,0.59087664,22.88742
102,YOD,y,0.971246,22.652214,a,0.9340595,12.653181,d,0.99077904,23.840607
103,YOG,y,0.99654657,22.802954,a,0.30412573,12.422596,g,0.83431774,22.520584
104,YOC,y,0.9984914,22.758423,a,0.8991313,12.864041,k,0.6069641,21.871681
105,YOX,y,0.98608184,22.621557,a,0.9716627,12.647921,k,0.9911333,23.298332
106,YOF,y,0.9917738,22.736814,O,0.17013982,12.782952,f,0.97706294,23.6938
107,YOV,y,0.99479866,22.637487,^,0.5694665,10.953292,v,0.9292546,23.438694
108,YOJ,y,0.99989593,22.812456,O,0.53232944,11.206125,p,0.0052386303,23.819054
109,YOS,y,0.99923027,22.820963,O,0.27984953,11.7828245,s,0.881783,22.566463
110,YOZ,y,0.98346764,22.740023,a,0.71970004,12.36594,z,0.9722296,23.484697
111,YOP,y,0.9936702,22.823896,a,0.91501933,12.509112,p,0.997615,23.8845
112,YOT,y,0.9957651,22.82042,a,0.6974741,12.055628,t,0.9984559,23.8623
113,YOK,y,0.9980508,22.80425,O,0.2889226,12.591868,k,0.99888605,22.967308
114,YOQ,y,0.93638545,22.351198,a,0.5755201,12.334477,k,0.99993384,22.8204
115,YOBB,y,0.92661923,22.537298,a,0.89951885,12.909138,b,0.99103206,23.856503
116,YOCH,y,0.95196897,22.545685,a,0.5692046,11.100533,C,0.52193683,22.714764
117,YOCK,y,0.9222961,22.483253,a,0.9196079,13.310678,k,0.9998142,23.745348
